Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
19,2014-15,"24,163","2,015","1,718","1,909","1,992","1,887","1,912","1,742","1,638","1,789","1,764","1,653","1,452","1,253","1,439","11,487",47.5,"12,676",52.5,"1,634",6.8,"11,720",48.5,"10,079",41.7,343,1.4,387,1.6,"4,675",19.3,"2,767",11.5,"20,354",84.2,78.1%
20,2014-15,"51,080","2,695","4,181","4,231","4,220","4,160","3,869","3,678","3,790","3,676","3,581","3,929","3,872","2,440","2,758","24,519",48,"26,561",52,"21,430",42,"1,698",3.3,"13,385",26.2,424,0.8,"14,143",27.7,"7,279",14.3,"12,580",24.6,"37,923",74.2,66.3%
21,2014-15,"35,814","2,350","2,173","2,228","2,291","2,115","2,112","2,023","2,826","2,793","2,780","3,637","3,353","2,440","2,693","17,358",48.5,"18,456",51.5,"8,843",24.7,"5,729",16,"8,988",25.1,455,1.3,"11,799",32.9,"6,006",16.8,"5,429",15.2,"24,658",68.9,63.3%
22,2014-15,"35,745","2,672","2,750","2,919","3,044","2,874","2,818","2,687","2,067","2,140","2,261","2,449","2,703","2,207","2,154","17,624",49.3,"18,121",50.7,"6,576",18.4,"12,594",35.2,"5,285",14.8,510,1.4,"10,780",30.2,"5,361",15,"3,602",10.1,"23,228",65,55.0%
23,2014-15,"10,459",831,795,818,850,758,779,774,894,994,"1,018",480,492,438,538,"4,964",47.5,"5,495",52.5,99,0.9,"8,000",76.5,"2,132",20.4,129,1.2,99,0.9,"2,358",22.5,476,4.6,"9,158",87.6,81.2%
24,2014-15,"60,211","3,466","5,182","5,325","5,164","4,977","4,928","4,641","4,134","4,181","4,333","3,886","3,514","2,961","3,519","28,524",47.4,"31,687",52.6,"11,789",19.6,"1,803",3,"37,613",62.5,503,0.8,"8,503",14.1,"8,911",14.8,"13,011",21.6,"43,368",72,60.9%
25,2014-15,"38,140","2,816","2,934","2,991","3,108","2,796","2,676","2,632","2,584","2,513","2,512","3,129","2,683","2,233","2,533","18,629",48.8,"19,511",51.2,"17,942",47,"3,311",8.7,"10,939",28.7,478,1.3,"5,470",14.3,"5,199",13.6,"6,893",18.1,"26,126",68.5,48.0%
26,2014-15,"32,273","1,477","1,850","1,861","1,951","1,770","1,756","1,877","1,905","1,914","1,925","4,279","3,547","3,307","2,854","15,754",48.8,"16,519",51.2,"16,616",51.5,"3,943",12.2,"5,480",17,573,1.8,"5,661",17.5,"4,278",13.3,"2,336",7.2,"18,439",57.1,33.1%
27,2014-15,"46,094","2,817","3,542","3,748","3,844","3,536","3,486","3,493","3,644","3,614","3,714","3,403","2,562","2,514","2,177","22,042",47.8,"24,052",52.2,"10,540",22.9,"11,573",25.1,"17,340",37.6,"1,944",4.2,"4,697",10.2,"7,606",16.5,"4,424",9.6,"35,352",76.7,59.3%
28,2014-15,"41,339","2,613","2,814","2,958","2,855","2,795","2,694","2,514","2,435","2,386","2,383","4,108","3,812","3,555","3,417","20,451",49.5,"20,888",50.5,"11,914",28.8,"9,980",24.1,"11,054",26.7,"1,877",4.5,"6,514",15.8,"5,881",14.2,"3,839",9.3,"28,212",68.2,50.5%
29,2014-15,"28,167","2,361","2,262","2,472","2,641","2,517","2,424","2,387","2,196","2,230","2,382","1,348","1,076",954,917,"13,764",48.9,"14,403",51.1,"4,204",14.9,"18,669",66.3,"3,983",14.1,810,2.9,501,1.8,"4,379",15.5,"1,982",7,"20,967",74.4,51.5%
30,2014-15,"41,470","3,087","3,222","3,225","3,328","3,134","3,050","2,902","3,423","3,215","3,241","2,926","2,758","1,930","2,029","20,467",49.4,"21,003",50.6,"9,207",22.2,"2,852",6.9,"22,264",53.7,653,1.6,"6,494",15.7,"5,781",13.9,"7,577",18.3,"29,237",70.5,59.7%
31,2014-15,"62,335","3,905","4,602","4,810","4,693","4,625","4,485","4,508","4,303","4,286","4,127","5,102","4,954","4,202","3,733","30,382",48.7,"31,953",51.3,"5,128",8.2,"8,147",13.1,"17,030",27.3,980,1.6,"31,050",49.8,"13,788",22.1,"3,182",5.1,"34,614",55.5,43.7%
